datum,status_sportschool_model,corona_intensity,sportschool_gesloten,max_personen_per_ruimte,groepslessen_verboden
2017-08-01,Open,0,0,,0
2017-08-02,Open,0,0,,0
2017-08-03,Open,0,0,,0
2017-08-04,Open,0,0,,0
2017-08-05,Open,0,0,,0
2017-08-06,Open,0,0,,0
2017-08-07,Open,0,0,,0
2017-08-08,Open,0,0,,0
2017-08-09,Open,0,0,,0
2017-08-10,Open,0,0,,0
2017-08-11,Open,0,0,,0
2017-08-12,Open,0,0,,0
2017-08-13,Open,0,0,,0
2017-08-14,Open,0,0,,0
2017-08-15,Open,0,0,,0
2017-08-16,Open,0,0,,0
2017-08-17,Open,0,0,,0
2017-08-18,Open,0,0,,0
2017-08-19,Open,0,0,,0
2017-08-20,Open,0,0,,0
2017-08-21,Open,0,0,,0
2017-08-22,Open,0,0,,0
2017-08-23,Open,0,0,,0
2017-08-24,Open,0,0,,0
2017-08-25,Open,0,0,,0
2017-08-26,Open,0,0,,0
2017-08-27,Open,0,0,,0
2017-08-28,Open,0,0,,0
2017-08-29,Open,0,0,,0
2017-08-30,Open,0,0,,0
2017-08-31,Open,0,0,,0
2017-09-01,Open,0,0,,0
2017-09-02,Open,0,0,,0
2017-09-03,Open,0,0,,0
2017-09-04,Open,0,0,,0
2017-09-05,Open,0,0,,0
2017-09-06,Open,0,0,,0
2017-09-07,Open,0,0,,0
2017-09-08,Open,0,0,,0
2017-09-09,Open,0,0,,0
2017-09-10,Open,0,0,,0
2017-09-11,Open,0,0,,0
2017-09-12,Open,0,0,,0
2017-09-13,Open,0,0,,0
2017-09-14,Open,0,0,,0
2017-09-15,Open,0,0,,0
2017-09-16,Open,0,0,,0
2017-09-17,Open,0,0,,0
2017-09-18,Open,0,0,,0
2017-09-19,Open,0,0,,0
2017-09-20,Open,0,0,,0
2017-09-21,Open,0,0,,0
2017-09-22,Open,0,0,,0
2017-09-23,Open,0,0,,0
2017-09-24,Open,0,0,,0
2017-09-25,Open,0,0,,0
2017-09-26,Open,0,0,,0
2017-09-27,Open,0,0,,0
2017-09-28,Open,0,0,,0
2017-09-29,Open,0,0,,0
2017-09-30,Open,0,0,,0
2017-10-01,Open,0,0,,0
2017-10-02,Open,0,0,,0
2017-10-03,Open,0,0,,0
2017-10-04,Open,0,0,,0
2017-10-05,Open,0,0,,0
2017-10-06,Open,0,0,,0
2017-10-07,Open,0,0,,0
2017-10-08,Open,0,0,,0
2017-10-09,Open,0,0,,0
2017-10-10,Open,0,0,,0
2017-10-11,Open,0,0,,0
2017-10-12,Open,0,0,,0
2017-10-13,Open,0,0,,0
2017-10-14,Open,0,0,,0
2017-10-15,Open,0,0,,0
2017-10-16,Open,0,0,,0
2017-10-17,Open,0,0,,0
2017-10-18,Open,0,0,,0
2017-10-19,Open,0,0,,0
2017-10-20,Open,0,0,,0
2017-10-21,Open,0,0,,0
2017-10-22,Open,0,0,,0
2017-10-23,Open,0,0,,0
2017-10-24,Open,0,0,,0
2017-10-25,Open,0,0,,0
2017-10-26,Open,0,0,,0
2017-10-27,Open,0,0,,0
2017-10-28,Open,0,0,,0
2017-10-29,Open,0,0,,0
2017-10-30,Open,0,0,,0
2017-10-31,Open,0,0,,0
2017-11-01,Open,0,0,,0
2017-11-02,Open,0,0,,0
2017-11-03,Open,0,0,,0
2017-11-04,Open,0,0,,0
2017-11-05,Open,0,0,,0
2017-11-06,Open,0,0,,0
2017-11-07,Open,0,0,,0
2017-11-08,Open,0,0,,0
2017-11-09,Open,0,0,,0
2017-11-10,Open,0,0,,0
2017-11-11,Open,0,0,,0
2017-11-12,Open,0,0,,0
2017-11-13,Open,0,0,,0
2017-11-14,Open,0,0,,0
2017-11-15,Open,0,0,,0
2017-11-16,Open,0,0,,0
2017-11-17,Open,0,0,,0
2017-11-18,Open,0,0,,0
2017-11-19,Open,0,0,,0
2017-11-20,Open,0,0,,0
2017-11-21,Open,0,0,,0
2017-11-22,Open,0,0,,0
2017-11-23,Open,0,0,,0
2017-11-24,Open,0,0,,0
2017-11-25,Open,0,0,,0
2017-11-26,Open,0,0,,0
2017-11-27,Open,0,0,,0
2017-11-28,Open,0,0,,0
2017-11-29,Open,0,0,,0
2017-11-30,Open,0,0,,0
2017-12-01,Open,0,0,,0
2017-12-02,Open,0,0,,0
2017-12-03,Open,0,0,,0
2017-12-04,Open,0,0,,0
2017-12-05,Open,0,0,,0
2017-12-06,Open,0,0,,0
2017-12-07,Open,0,0,,0
2017-12-08,Open,0,0,,0
2017-12-09,Open,0,0,,0
2017-12-10,Open,0,0,,0
2017-12-11,Open,0,0,,0
2017-12-12,Open,0,0,,0
2017-12-13,Open,0,0,,0
2017-12-14,Open,0,0,,0
2017-12-15,Open,0,0,,0
2017-12-16,Open,0,0,,0
2017-12-17,Open,0,0,,0
2017-12-18,Open,0,0,,0
2017-12-19,Open,0,0,,0
2017-12-20,Open,0,0,,0
2017-12-21,Open,0,0,,0
2017-12-22,Open,0,0,,0
2017-12-23,Open,0,0,,0
2017-12-24,Open,0,0,,0
2017-12-25,Open,0,0,,0
2017-12-26,Open,0,0,,0
2017-12-27,Open,0,0,,0
2017-12-28,Open,0,0,,0
2017-12-29,Open,0,0,,0
2017-12-30,Open,0,0,,0
